,bedrooms,beds,accommodates,amenities_count,instant_bookable,minimum_nights,number_of_reviews,bathrooms,monthly_revenue,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
224,2.0,3.0,8,67,0,3,27,1.0,0,1,0,0,0
225,5.0,5.0,10,42,1,2,17,3.0,1,1,0,0,0
226,0.0,1.0,1,16,0,2,94,1.0,0,0,0,1,0
227,4.0,4.0,8,47,0,1,26,2.0,0,1,0,0,0
228,0.0,1.0,2,67,1,1,137,1.0,0,0,0,1,0
229,0.0,2.0,4,20,0,1,6,2.0,0,0,0,1,0
230,3.0,4.0,7,56,0,1,4,2.0,0,1,0,0,0
231,2.0,3.0,5,34,1,1,42,1.0,1,1,0,0,0
233,3.0,3.0,5,71,0,7,0,2.0,1,1,0,0,0
235,0.0,1.0,1,9,0,1,0,1.0,0,0,0,1,0
237,1.0,2.0,2,48,1,30,6,1.0,0,1,0,0,0
240,0.0,1.0,2,43,0,1,31,1.0,0,1,0,0,0
244,1.0,1.0,2,52,0,3,33,1.0,1,1,0,0,0
245,2.0,2.0,5,62,0,1,56,2.0,1,1,0,0,0
246,4.0,5.0,8,31,1,30,0,2.0,0,1,0,0,0
248,2.0,2.0,3,30,1,30,1,1.0,1,1,0,0,0
250,1.0,1.0,3,21,0,30,1,1.0,0,1,0,0,0
251,1.0,2.0,4,68,0,3,88,1.0,0,1,0,0,0
252,0.0,1.0,2,14,0,1,142,1.0,0,1,0,0,0
253,1.0,1.0,2,43,0,30,1,1.0,1,1,0,0,0
254,3.0,4.0,6,64,0,30,2,3.0,1,1,0,0,0
255,4.0,5.0,8,15,1,1,2,2.0,1,1,0,0,0
259,0.0,1.0,1,0,0,30,0,1.0,0,0,0,0,1
260,1.0,1.0,3,50,1,2,139,1.0,1,1,0,0,0
262,2.0,2.0,4,59,0,1,17,2.0,1,1,0,0,0
270,0.0,1.0,2,19,0,1,16,3.0,0,0,0,1,0
271,1.0,1.0,2,31,0,31,1,1.0,1,1,0,0,0
273,1.0,1.0,2,31,0,31,0,1.0,1,1,0,0,0
276,1.0,1.0,2,44,0,3,64,1.0,0,1,0,0,0
278,3.0,3.0,6,40,1,1,22,1.0,0,1,0,0,0
280,1.0,1.0,2,45,1,31,1,1.0,1,1,0,0,0
281,1.0,1.0,2,45,1,3,147,1.0,0,1,0,0,0
282,1.0,1.0,2,31,0,31,0,1.0,1,1,0,0,0
283,0.0,1.0,2,6,0,3,4,1.0,0,1,0,0,0
284,3.0,7.0,15,52,0,3,188,2.0,0,1,0,0,0
285,1.0,1.0,2,48,0,1,11,1.0,0,0,0,1,0
286,0.0,1.0,2,57,0,1,63,1.0,1,1,0,0,0
287,2.0,4.0,6,60,1,2,38,1.0,1,1,0,0,0
289,1.0,1.0,2,58,0,5,11,2.0,1,1,0,0,0
290,0.0,3.0,6,9,1,28,1,1.0,0,0,0,1,0
291,4.0,5.0,9,33,1,2,27,3.0,1,1,0,0,0
294,0.0,2.0,2,20,0,30,0,1.0,0,0,0,1,0
296,1.0,1.0,2,53,0,2,64,1.0,1,1,0,0,0
297,2.0,2.0,5,43,0,1,143,2.0,0,1,0,0,0
298,1.0,1.0,2,58,0,1,20,1.0,1,1,0,0,0
299,1.0,1.0,2,32,0,31,0,1.0,1,1,0,0,0
300,0.0,1.0,2,33,0,31,1,1.0,1,1,0,0,0
301,1.0,2.0,2,52,0,2,41,1.0,1,1,0,0,0
303,0.0,2.0,3,21,0,1,0,1.0,0,0,0,1,0
304,3.0,3.0,9,52,0,2,22,2.0,0,1,0,0,0
305,0.0,1.0,2,8,0,30,0,1.0,0,0,0,1,0
306,1.0,1.0,2,21,1,1,1,1.0,1,0,0,1,0
307,2.0,2.0,3,50,0,30,4,2.0,0,1,0,0,0
309,5.0,5.0,14,65,0,2,14,5.0,0,1,0,0,0
310,1.0,1.0,2,57,0,2,321,1.0,1,1,0,0,0
312,0.0,1.0,2,48,0,1,47,1.0,0,0,0,1,0
313,0.0,1.0,2,58,0,2,95,1.0,0,0,0,1,0
314,1.0,1.0,2,30,0,31,0,1.0,1,1,0,0,0
316,0.0,1.0,2,44,0,30,19,1.0,0,0,0,1,0
317,5.0,5.0,10,61,0,2,0,7.0,1,1,0,0,0
318,0.0,1.0,1,32,0,31,21,1.0,0,0,0,1,0
319,2.0,2.0,4,21,0,15,25,2.0,0,1,0,0,0
320,0.0,2.0,6,47,1,1,2,1.0,0,0,0,1,0
321,2.0,2.0,4,54,0,1,104,1.0,0,1,0,0,0
